Index,Real,Predict_1,Predict_2,Predict_3,Predict_4,Predict_5,Predict_6,Predict_7,Predict_8,Predict_9,Predict_10,Predict_11,Predict_12,Predict_13,Predict_14,Predict_15,Predict_16,Predict_17,Predict_18,Predict_19,Predict_20,Predict_21,Predict_22,Predict_23,Predict_24,Predict_25,Predict_26,Predict_27,Predict_28,Predict_29
32,-2.92993,-3.009981632232666,-2.9782814979553223,-2.845776557922364,-2.7979655265808105,-2.9226088523864746,-2.893649816513061,-3.001905918121338,-2.6973180770874023,-2.8627755641937256,-3.0543458461761475,-2.985801696777344,-2.899011611938477,-2.9017224311828613,-3.0146822929382324,-2.7962563037872314,-2.737006187438965,-2.7866909503936768,-2.960082054138184,-2.8963351249694824,-2.938539743423462,-2.764928340911865,-2.9541540145874023,-2.9371299743652344,-2.99026870727539,-2.9547781944274902,-2.604899406433105,-2.755322217941284,-2.940474271774292,-2.864816904067993
33,-2.95064,-3.022921323776245,-2.8301024436950684,-3.0101125240325928,-3.029170751571656,-2.9599645137786865,-3.031698226928711,-2.841182947158813,-3.001793384552002,-3.056441307067871,-2.980252742767334,-3.0501441955566406,-3.044052839279175,-2.91339373588562,-3.035955905914306,-3.0099117755889893,-3.0335187911987305,-2.8410212993621826,-3.00533127784729,-2.8051867485046387,-3.010059356689453,-3.001304626464844,-2.8437771797180176,-3.0512142181396484,-3.0053417682647705,-2.9791300296783447,-3.015289545059204,-3.041922092437744,-2.8369271755218506,-2.867738723754883
34,-3.00226,-2.8008854389190674,-2.9730379581451416,-2.902238845825196,-2.88124942779541,-3.01419734954834,-2.955913543701172,-3.065253734588623,-2.97479510307312,-3.007331132888794,-3.0469565391540527,-3.099029541015625,-3.0532772541046143,-3.0881526470184326,-2.9787285327911377,-2.955360412597656,-3.080928087234497,-3.03088927268982,-2.730111122131348,-3.0531082153320312,-2.960953712463379,-3.0090789794921875,-3.0262651443481445,-3.109384298324585,-3.051090717315674,-3.0170371532440186,-3.0556509494781494,-3.031524658203125,-2.9906675815582275,-2.9642982482910156
35,-3.06626,-2.8841984272003174,-2.982377290725708,-2.9564011096954346,-3.102169752120972,-3.0688772201538086,-3.1235063076019287,-3.076293706893921,-3.096970558166504,-3.1087565422058105,-3.0430667400360107,-3.1029226779937744,-3.151264905929565,-3.1409554481506348,-3.077139139175415,-3.14921498298645,-3.1343438625335693,-3.0767650604248047,-2.9209580421447754,-3.095170736312866,-3.0676419734954834,-2.949094295501709,-3.0919852256774902,-3.1684248447418213,-3.1193923950195312,-2.9425125122070312,-3.106457471847534,-3.0731658935546875,-3.116548776626587,-3.0232553482055664
36,-3.11312,-2.896379232406616,-2.896743059158325,-3.137004852294922,-3.0859978199005127,-3.100090503692627,-2.8867552280426025,-2.97239351272583,-3.1413185596466064,-3.156657457351685,-3.0381534099578857,-3.2015860080718994,-3.1935863494873047,-2.871896266937256,-2.919473886489868,-2.8774964809417725,-2.998657464981079,-3.108072757720948,-3.0737762451171875,-3.0474445819854736,-3.096278667449951,-3.0289902687072754,-3.117958307266236,-3.2010607719421387,-3.1703243255615234,-3.0997085571289062,-3.009089708328247,-3.123615264892578,-3.010214328765869,-3.1709060668945312
37,-3.11306,-3.064276218414306,-3.090040445327759,-3.1269381046295166,-3.162117719650269,-3.0575859546661377,-3.0304529666900635,-3.100088596343994,-3.0303280353546143,-3.129645109176636,-3.122814178466797,-3.0530893802642822,-3.196613550186157,-3.082205295562744,-3.1003198623657227,-3.1770436763763428,-3.028681516647339,-3.114243030548096,-3.114278554916382,-2.994589567184448,-3.100431203842163,-3.095471143722534,-3.0762364864349365,-3.183798313140869,-3.082648038864136,-3.06088662147522,-3.0109405517578125,-3.118092060089112,-3.045335292816162,-3.0912742614746094
38,-3.03857,-3.0466465950012207,-3.084844827651977,-3.0066580772399902,-3.106384992599488,-2.6739511489868164,-3.1277787685394287,-3.069584846496582,-2.8589913845062256,-3.101568937301636,-3.0387277603149414,-3.117151975631714,-2.9959142208099365,-3.0665595531463623,-3.072617769241333,-3.046083450317383,-3.1030080318450928,-3.085280418395996,-2.9609692096710205,-3.053156614303589,-3.083695650100708,-3.019174814224243,-3.018527030944824,-3.1120996475219727,-2.7792913913726807,-3.035462617874145,-3.084225654602051,-3.0812880992889404,-2.9333479404449463,-3.1017045974731445
39,-2.88204,-2.9844067096710205,-2.8777220249176025,-2.956207752227783,-2.771840333938598,-2.872359037399292,-2.831202268600464,-2.7736382484436035,-2.882774353027344,-2.8053932189941406,-2.8956785202026367,-2.9869978427886963,-2.73694372177124,-2.733949899673462,-2.7313311100006104,-2.931396245956421,-2.981981039047241,-2.923078775405884,-2.8133203983306885,-2.82703709602356,-2.8720967769622803,-2.9079809188842773,-2.912260055541992,-2.9763362407684326,-2.929962635040283,-2.8510730266571045,-2.7634761333465576,-2.8716962337493896,-2.8350343704223637,-2.9285809993743896
40,-2.66256,-2.76392126083374,-2.640960216522217,-2.59757399559021,-2.69850492477417,-2.664984703063965,-2.526073455810547,-2.6823065280914307,-2.715258836746216,-2.7181856632232666,-2.652474880218506,-2.762512445449829,-2.6308841705322266,-2.620673894882202,-2.779950857162476,-2.700815439224243,-2.744302034378052,-2.70609974861145,-2.60249662399292,-2.6064627170562744,-2.733823537826538,-2.7120201587677,-2.63360857963562,-2.763081312179565,-2.675288438796997,-2.665645360946656,-2.616883039474488,-2.715324640274048,-2.6777684688568115,-2.6953349113464355
41,-2.40465,-2.4769132137298584,-2.3030872344970703,-2.45923376083374,-2.426576375961304,-2.501265525817871,-2.3310434818267822,-2.448598146438598,-2.5011954307556152,-2.373578786849976,-2.426165819168091,-2.501561164855957,-2.47534441947937,-2.4819045066833496,-2.475069284439087,-2.434009075164795,-2.429139852523804,-2.466238498687744,-2.361194372177124,-2.416444778442383,-2.468780994415283,-2.400526285171509,-2.4139418601989746,-2.2952661514282227,-2.450435400009156,-2.407381772994995,-2.445880174636841,-2.425320863723755,-2.4639480113983154,-2.4223287105560303
42,-2.13216,-2.1868021488189697,-2.0483152866363525,-2.0721545219421387,-2.077711343765259,-2.142988920211792,-2.169502258300781,-2.0142672061920166,-2.094134330749512,-2.1162655353546143,-2.19136905670166,-2.194790363311768,-2.182234048843384,-2.212522506713867,-2.0629234313964844,-1.8518162965774536,-2.066191911697388,-2.1467418670654297,-2.11985182762146,-2.121360540390014,-2.1351375579833984,-2.160677909851074,-2.1386661529541016,-2.13397479057312,-2.107658624649048,-2.1145474910736084,-2.1933839321136475,-2.1523962020874023,-2.105705976486206,-2.182654619216919
43,-1.87132,-1.8652430772781368,-1.802707314491272,-1.9542053937911987,-1.904065608978272,-1.7896205186843872,-1.921915054321289,-1.825183391571045,-1.9059370756149288,-1.8848140239715576,-1.9167845249176023,-1.839429497718811,-1.8700602054595947,-1.9267348051071167,-1.8461967706680296,-1.8805476427078247,-1.86051082611084,-1.813443660736084,-1.858453750610352,-1.8740713596344,-1.9035521745681765,-1.9847297668457031,-1.850586175918579,-1.903852105140686,-1.907830119132996,-1.8801671266555784,-1.7847901582717896,-1.865366816520691,-1.909817099571228,-1.8313267230987549
44,-1.64046,-1.630438208580017,-1.5688785314559937,-1.5570406913757324,-1.6454973220825195,-1.6050643920898438,-1.6626596450805664,-1.5745543241500854,-1.6402629613876345,-1.617263674736023,-1.6777271032333374,-1.6935641765594482,-1.6154193878173828,-1.628517746925354,-1.5584497451782229,-1.5515506267547607,-1.6586062908172607,-1.6634663343429563,-1.5751677751541138,-1.610344171524048,-1.746122121810913,-1.7076876163482666,-1.6595693826675415,-1.6504169702529907,-1.6743769645690918,-1.6088651418685913,-1.601691484451294,-1.7105002403259275,-1.6228927373886108,-1.6327521800994873
45,-1.44307,-1.460382342338562,-1.4507265090942385,-1.3627017736434937,-1.453577995300293,-1.3812992572784424,-1.505314826965332,-1.43593168258667,-1.4725730419158936,-1.4314519166946411,-1.3882495164871216,-1.445777416229248,-1.462402582168579,-1.4172611236572266,-1.443259596824646,-1.3442033529281616,-1.3757342100143433,-1.4916419982910156,-1.402666687965393,-1.4303102493286133,-1.4161378145217896,-1.4859665632247925,-1.380358099937439,-1.37206768989563,-1.4272509813308716,-1.37342631816864,-1.4567385911941528,-1.430754780769348,-1.498226761817932,-1.3801681995391846
46,-1.25878,-1.2903844118118286,-1.2331551313400269,-1.3114129304885864,-1.2299072742462158,-1.1791083812713623,-1.305450201034546,-1.2865134477615356,-1.2244430780410769,-1.2360162734985352,-1.2540363073349,-1.270447015762329,-1.2266985177993774,-1.3302490711212158,-1.178787350654602,-1.25697124004364,-1.2343800067901611,-1.2822784185409546,-1.203191876411438,-1.215193748474121,-1.3122622966766355,-1.3144845962524414,-1.2197320461273191,-1.2113529443740845,-1.2907100915908811,-1.1966185569763184,-1.2535662651062012,-1.314571976661682,-1.302968144416809,-1.216995358467102
47,-1.06166,-1.1784266233444214,-1.069571614265442,-1.0450186729431152,-1.0617115497589111,-1.0900624990463257,-1.0965008735656738,-1.0642987489700315,-1.0594271421432495,-0.997732400894165,-1.0378596782684326,-1.0665509700775146,-1.133907675743103,-1.0854809284210205,-1.0704944133758545,-1.0006828308105469,-0.981982946395874,-1.07196044921875,-1.0478084087371826,-1.0473852157592771,-1.0966036319732666,-1.145291447639465,-0.9814736843109132,-1.0939459800720217,-1.035630464553833,-1.0298928022384644,-0.9801858067512512,-1.0404711961746216,-1.1174801588058472,-1.0934594869613647
48,-0.83617,-0.904522716999054,-0.8024999499320984,-0.7808462977409363,-0.7972660064697266,-0.793922483921051,-0.9024562239646912,-0.8018783926963806,-0.8173100352287292,-0.8096666932106018,-0.8437802791595459,-0.8736469745635986,-0.8743468523025513,-0.8417806625366211,-0.8506718277931213,-0.787742555141449,-0.814552366733551,-0.8192539811134338,-0.7551506757736206,-0.8199906945228577,-0.9271209239959716,-0.9275227785110474,-0.8236169815063477,-0.8862944841384888,-0.8051296472549438,-0.8541080951690674,-0.8305349946022034,-0.8570697903633118,-0.84116530418396,-0.8634396195411682
49,-0.58116,-0.6467318534851074,-0.5936786532402039,-0.6076493859291077,-0.5956414937973022,-0.5690039992332458,-0.6337310075759888,-0.656499445438385,-0.5004604458808899,-0.5394612550735474,-0.5657986402511597,-0.7141165137290955,-0.5695132613182068,-0.5921012759208679,-0.6317079663276672,-0.5304415225982666,-0.5349085330963135,-0.6455498933792114,-0.5047090649604797,-0.5473997592926025,-0.5230057835578918,-0.5512239336967468,-0.5175710320472717,-0.5668216347694397,-0.5614093542098999,-0.607276976108551,-0.6487213373184204,-0.5282004475593567,-0.6690078973770142,-0.5769082307815552
50,-0.31382,-0.3969059884548187,-0.2344871461391449,-0.4282373785972595,-0.3460960686206817,-0.1736635863780975,-0.3044206798076629,-0.277962863445282,-0.3128909468650818,-0.2417510896921157,-0.3542097806930542,-0.4367176294326782,-0.4044645726680755,-0.3125494718551636,-0.2729246914386749,-0.3353694677352905,-0.4135694205760956,-0.2397712767124176,-0.2655306756496429,-0.3191350400447845,-0.2795200645923614,-0.1952727138996124,-0.3177388608455658,-0.2915509641170501,-0.2288157045841217,-0.49202361702919,-0.3111821711063385,-0.3893809616565704,-0.3406526446342468,-0.2632245123386383
51,-0.05208,-0.0122753549367189,0.02481185272336,-0.0090327765792608,-0.2441027611494064,0.0169027484953403,-0.0256945174187421,-0.0638949871063232,-0.0594810098409652,0.0060634519904851,-0.0221259668469429,-0.047515619546175,0.0156365968286991,-0.0360411703586578,-0.2216812372207641,-0.1289347261190414,-0.0037814965471625,0.0253263916820287,-0.0818532705307006,0.0135350273922085,-0.0196283943951129,-0.0378737673163414,-0.08226078748703,-0.0621392130851745,0.0378038696944713,-0.0192452277988195,-0.0421246588230133,-0.0981167405843734,-0.0871166288852691,-0.06688841432332993
52,0.18085,0.1923375427722931,0.1375857442617416,0.1533850878477096,0.1534322649240493,0.2308173775672912,0.1244878470897674,0.1942114681005478,0.0010549068683758,0.1429081857204437,0.059262566268444,0.1121498495340347,0.2188901156187057,0.1962681263685226,0.0776187404990196,0.2308245450258255,0.1849074959754943,0.2214571386575698,0.2059364020824432,0.1375385671854019,0.3206605017185211,0.1173556447029113,0.1229223310947418,0.1307714134454727,0.1383868157863617,0.0259656962007284,0.2357136160135269,0.1845673620700836,0.1902680546045303,0.2740813195705414
53,0.35281,0.3540794849395752,0.4210220277309418,0.4245048761367798,0.3739721179008484,0.391170471906662,0.1983459144830703,0.3010295033454895,0.2700533270835876,0.3534026145935058,0.322890043258667,0.1683716475963592,0.3766837418079376,0.327979177236557,0.282651424407959,0.4063959717750549,0.3255495727062225,0.4597993195056915,0.3203286826610565,0.2509965300559997,0.3204736411571502,0.329144537448883,0.3553618788719177,0.3920436501502991,0.3886310160160064,0.5160025954246521,0.3394417464733124,0.3728916943073272,0.376668244600296,0.43017879128456116
54,0.44412,0.3997605741024017,0.5145530104637146,0.3560632765293121,0.4499290883541107,0.4128048717975616,0.4018040001392364,0.4840898811817169,0.4243161380290985,0.5067790150642395,0.5395902395248413,0.3329947292804718,0.4154376089572906,0.4791626632213592,0.4275347292423248,0.4602391123771667,0.5280582308769226,0.2790315449237823,0.509333610534668,0.2936677634716034,0.3667281866073608,0.4609148502349853,0.5132721066474915,0.4399048089981079,0.3987824618816376,0.3562709093093872,0.4242168366909027,0.4881306886672973,0.4604667425155639,0.42597487568855286
55,0.45396,0.4637819826602936,0.5342897176742554,0.4409463405609131,0.2557632625102997,0.3723779022693634,0.2644647657871246,0.3543445169925689,0.3064629137516022,0.4077089428901672,0.3971206843852997,0.4549638628959656,0.3693952560424804,0.397385686635971,0.4748859107494354,0.4356186389923095,0.562992513179779,0.2158572375774383,0.5842272043228149,0.4959956109523773,0.5481705665588379,0.3192082345485687,0.0231698937714099,0.4920714497566223,0.4473325908184051,0.6244235038757324,0.4786560535430908,0.5885813236236572,0.3565129041671753,0.4829758405685425
56,0.3998,0.4695189297199249,0.330955445766449,0.3531047701835632,0.5108636617660522,0.4059399664402008,0.4151922166347503,0.3719698190689087,0.3180198669433594,0.3562573194503784,0.5307117104530334,0.292169839143753,0.4789965748786926,0.4542568027973175,0.2459353059530258,0.4800951182842254,0.6082701086997986,0.2247629463672638,0.5075333118438721,0.3892973065376282,0.4930608868598938,0.5505329966545105,0.4871597290039062,0.4506927728652954,0.2838171720504761,0.2675976753234863,0.3851560652256012,0.5324161648750305,0.3232520818710327,0.3835754692554474
57,0.30791,0.3319664001464844,0.388611376285553,0.2562710046768188,0.3482459187507629,0.4325355589389801,0.3451296091079712,0.3637186884880066,0.3758996427059173,0.3642777800559997,0.3038056790828705,0.394602358341217,0.3839978873729706,0.3844444751739502,0.3826260268688202,0.3371729552745819,0.4677676856517792,0.3256518840789795,0.1078357249498367,0.3200398981571197,0.458402931690216,0.3263800740242004,0.2629396319389343,0.2819439768791199,0.2802720069885254,0.4740165174007416,0.4102676808834076,0.2454015165567398,0.2343164682388305,0.38643166422843933
58,0.20084,0.2659298479557037,0.246299609541893,0.0663287043571472,0.1454238891601562,0.1849123984575271,0.3017180562019348,0.2219327986240387,0.3382292091846466,0.2489206194877624,0.2364104837179184,0.1768534183502197,0.2264273762702942,0.1334030032157898,0.2662450671195984,0.1686532646417617,0.1959340274333953,0.2008619904518127,0.0677137672901153,0.1075820475816726,0.108733057975769,0.2604624629020691,0.3595634996891022,0.2091640681028366,0.2528470456600189,0.2755328118801117,0.2844370305538177,0.3342050015926361,0.3172384202480316,0.17452308535575867
59,0.10508,0.2029933780431747,0.1392830163240432,0.075762927532196,0.001292357337661,0.1640386432409286,0.055435799062252,0.057053405791521,0.2333258986473083,0.1226622313261032,-0.0299690049141645,0.1314954608678817,0.1272976100444793,0.1176365092396736,0.1117127016186714,0.1829795688390731,0.2246515899896621,0.0395758785307407,0.1777281016111374,0.1005804613232612,0.119083859026432,0.1581971347332,0.0338430888950824,-0.0091050695627927,0.0999945774674415,0.2528678178787231,-0.0222898032516241,0.1682402789592743,0.1152820140123367,0.14054878056049347
60,0.03714,-0.1559299081563949,0.0625562965869903,0.006879995111376,-0.0612786896526813,0.0809709802269935,0.0630825385451316,-0.0342382080852985,-0.0480731911957263,0.0297033712267875,0.0402219779789447,0.0372123196721077,-0.0309707149863243,0.0496801733970642,0.0121786529198288,0.1276486963033676,0.1455548703670501,0.0180439446121454,-0.03183538839221,-0.07062778621912,-0.0327198840677738,-0.0730996876955032,-0.12526236474514,-0.01747284270823,0.0973713025450706,0.0942550003528595,0.0863119214773178,0.0208369139581918,0.0187857411801815,0.05399071052670479
61,-0.00231,0.0282373316586017,0.0593395754694938,0.014881775714457,-0.0200196783989667,0.0058584669604897,-0.0336627028882503,0.0038924217224121,-0.0357948467135429,0.0397210270166397,-0.0473906658589839,-0.1301812529563903,0.0058937636204063,-0.0134403351694345,0.0540828220546245,0.0630349740386009,-0.0355447530746459,0.0123334303498268,0.0709323734045028,0.0088369799777865,0.0849861204624176,0.0674238428473472,-0.0895726755261421,-0.0460865721106529,0.0076899318955838,-0.0377416424453258,-0.0526221245527267,0.0304208192974329,-0.0296530332416296,-0.11889499425888062
62,-0.02014,-0.0981977209448814,0.0955604091286659,-0.0829042419791221,-0.0647035986185073,0.0256102755665779,-0.0095652472227811,0.0043088095262646,-0.0035144118592143,-0.0671560615301132,0.0116573190316557,-0.113843597471714,-0.0114363497123122,-0.1135074347257614,-0.0867572426795959,0.0675287917256355,-0.0535373874008655,-0.100110538303852,-0.1193923577666282,-0.152454599738121,0.0078471628949046,-0.0472187101840972,-0.0716487467288971,-0.0024443741422146,-0.0505875647068023,0.0130129382014274,-0.0084670856595039,-0.0903095677495002,-0.076181448996067,-0.12997305393218994
63,-0.03164,-0.0319607220590114,0.095144398510456,-0.008499551564455,-0.0854010581970214,0.0597223676741123,-0.098159022629261,-0.1758833080530166,-0.005434778984636,-0.0064176120795309,-0.0620031207799911,-0.0248651392757892,-0.0049872468225657,0.0256359465420246,-0.1878990978002548,0.0867173597216606,-0.0535724945366382,0.0283909756690263,-0.3131045997142792,-0.1019195467233657,-0.0761793702840805,-0.0067936070263385,-0.1290328800678253,-0.1047496944665908,-0.1538868546485901,0.0026387283578515,-0.0766988173127174,0.0140671199187636,0.0384433642029762,-0.09918490052223206
64,-0.05922,-0.139326125383377,-0.0098615884780883,-0.0071469517424702,-0.1748931109905243,-0.0820186138153076,-0.0311232265084981,-0.0367640927433967,-0.0981563776731491,-0.0610216073691844,-0.0540864653885364,-0.1160884350538253,-0.0726081728935241,-0.1744680404663086,-0.112750343978405,-0.0270661823451519,0.0030826739966869,-0.0601786412298679,0.0136663988232612,-0.2205896824598312,-0.0624985955655574,-0.1136529594659805,-0.033332385122776,-0.1677392125129699,-0.1024284213781356,0.0575366131961345,-0.0590910501778125,0.0522838234901428,-0.0576099082827568,-0.07803612947463989
65,-0.11966,-0.2897832989692688,-0.0309833604842424,-0.2412206977605819,-0.1679168194532394,-0.0754186958074569,-0.0603319071233272,-0.0540549457073211,0.0114189246669411,-0.0873814523220062,-0.0419109910726547,-0.050992626696825,-0.1563198715448379,-0.0880137681961059,-0.1958127319812774,-0.0491017028689384,-0.0119769368320703,-0.109205387532711,-0.0781910941004753,-0.0383601821959018,-0.1048168912529945,-0.088255375623703,-0.0461009182035923,-0.0724667981266975,-0.1235868111252784,-0.1652282327413559,-0.077813021838665,-0.154919147491455,-0.156111866235733,-0.10279309004545212
66,-0.21466,-0.1734936982393264,-0.0484807081520557,-0.2235632836818695,-0.1487286388874054,-0.2493340373039245,-0.1956575810909271,-0.1157113015651702,-0.269995242357254,-0.1581477522850036,-0.2413162142038345,-0.3187564015388489,-0.2185885310173034,-0.1888706088066101,-0.164395272731781,-0.1094375550746917,-0.0599111765623092,-0.2012746483087539,-0.2614368498325348,-0.0965257510542869,-0.1777953654527664,-0.2398122251033783,-0.1151422187685966,-0.1683228313922882,-0.1841132938861847,-0.0885137766599655,-0.2502153217792511,-0.1187541857361793,-0.1097108647227287,-0.09990838915109634
67,-0.32826,-0.4167087376117706,-0.3178251087665558,-0.3273820281028747,-0.3100917339324951,-0.4099997282028198,-0.400450736284256,-0.3215835392475128,-0.3035850524902344,-0.3221433758735657,-0.3527529835700989,-0.2359269559383392,-0.323790431022644,-0.2565826773643493,-0.3495917618274688,-0.2793467938899994,-0.1759146451950073,-0.2447734028100967,-0.2966999411582947,-0.3067177832126617,-0.284624308347702,-0.2892821729183197,-0.2327847927808761,-0.3306276202201843,-0.2463436275720596,-0.3182324469089508,-0.2516256868839264,-0.2307825088500976,-0.2990325391292572,-0.24103496968746185
68,-0.43345,-0.5035265684127808,-0.3551006913185119,-0.4111558496952057,-0.3299777507781982,-0.4443926811218261,-0.3788121342658996,-0.4339746832847595,-0.362428069114685,-0.418182909488678,-0.3928574025630951,-0.4440174400806427,-0.4033681154251098,-0.3692314624786377,-0.5561414957046509,-0.341832160949707,-0.3207864463329315,-0.5290201902389526,-0.4391042292118072,-0.4506509602069855,-0.3598210215568542,-0.3641659021377563,-0.3033134341239929,-0.4405680000782013,-0.3071866333484649,-0.3234189748764038,-0.3915542662143707,-0.3250186443328857,-0.3487021625041961,-0.36844000220298767
69,-0.50824,-0.6341791152954102,-0.4462383091449737,-0.4371804594993591,-0.4386091232299804,-0.5800399780273438,-0.5658133625984192,-0.460034966468811,-0.5295630693435669,-0.4871586859226227,-0.5119770169258118,-0.4392563700675964,-0.528967559337616,-0.5627999305725098,-0.5016931891441345,-0.4191283583641052,-0.4074404537677765,-0.5143671631813049,-0.4921974539756775,-0.5686329007148743,-0.5255890488624573,-0.5253086090087891,-0.5524256825447083,-0.5279203653335571,-0.5081883668899536,-0.4638283252716064,-0.5356138944625854,-0.4234002232551574,-0.4737484157085418,-0.5159528851509094
